<addison:FastEthernet0/0, nodeidh93:FastEthernet0/0>
<addison:FastEthernet0/1, whitesville:FastEthernet0/0>
<addisonidh108:FastEthernet0/0, crownttpoint:FastEthernet0/0>
<addisonidh108:FastEthernet0/1, middlebury:FastEthernet0/0>
<albany:FastEthernet0/0, buffalo:FastEthernet0/0>
<albany:FastEthernet0/1, montreal:FastEthernet0/0>
<albany:FastEthernet1/0, newttyork:FastEthernet0/0>
<albany:FastEthernet1/1, worcester:FastEthernet0/0>
<albanyidh64:FastEthernet0/0, coxsackie:FastEthernet0/0>
<albanyidh64:FastEthernet0/1, gloversville:FastEthernet0/0>
<albanyidh64:FastEthernet1/0, queensbury:FastEthernet0/0>
<albanyidh64:FastEthernet1/1, saugerties:FastEthernet0/0>
<albuquerque:FastEthernet0/0, coloradottsprings:FastEthernet0/0>
<albuquerque:FastEthernet0/1, elttpaso:FastEthernet0/0>
<alexandriattbay:FastEthernet0/0, ogdensburg:FastEthernet0/0>
<alexandriattbay:FastEthernet0/1, watertown:FastEthernet0/0>
<alfred:FastEthernet0/0, almond:FastEthernet0/0>
<alfred:FastEthernet0/1, nodeidh21:FastEthernet0/0>
<alfred:FastEthernet1/0, nodeidh22:FastEthernet0/0>
<alicante:FastEthernet0/0, murcia:FastEthernet0/0>
<alicante:FastEthernet0/1, valencia:FastEthernet0/0>
<almond:FastEthernet0/0, alfred:FastEthernet0/0>
<almond:FastEthernet0/1, ingleside:FastEthernet0/0>
<altmar:FastEthernet0/0, syracuse:FastEthernet0/0>
<amsterdam:FastEthernet0/0, antwerp:FastEthernet0/0>
<amsterdam:FastEthernet0/1, cambridge:FastEthernet0/0>
<amsterdam:FastEthernet1/0, dusseldorf:FastEthernet0/0>
<antwerp:FastEthernet0/0, amsterdam:FastEthernet0/0>
<antwerp:FastEthernet0/1, brussels:FastEthernet0/0>
<arezzo:FastEthernet0/0, florence:FastEthernet0/0>
<arezzo:FastEthernet0/1, rome:FastEthernet0/0>
<atlanta:FastEthernet0/0, charlotte:FastEthernet0/0>
<atlanta:FastEthernet0/1, jacksonville:FastEthernet0/0>
<atlanta:FastEthernet1/0, nashville:FastEthernet0/0>
<atlanta:FastEthernet1/1, nodeidg150:FastEthernet0/0>
<auburn:FastEthernet0/0, nodeidh110:FastEthernet0/0>
<auburn:FastEthernet0/1, nodeidh124:FastEthernet0/0>
<austin:FastEthernet0/0, houston:FastEthernet0/0>
<austin:FastEthernet0/1, santtantonio:FastEthernet0/0>
<avila:FastEthernet0/0, bilbao:FastEthernet0/0>
<avila:FastEthernet0/1, coimbra:FastEthernet0/0>
<avila:FastEthernet1/0, madrid:FastEthernet0/0>
<badajoz:FastEthernet0/0, lisbon:FastEthernet0/0>
<badajoz:FastEthernet0/1, sevilla:FastEthernet0/0>
<balchik:FastEthernet0/0, constanta:FastEthernet0/0>
<balchik:FastEthernet0/1, varna:FastEthernet0/0>
<baltimore:FastEthernet0/0, philadelphia:FastEthernet0/0>
<baltimore:FastEthernet0/1, washington:FastEthernet0/0>
<barcelona:FastEthernet0/0, nodeidg171:FastEthernet0/0>
<barcelona:FastEthernet0/1, valencia:FastEthernet0/1>
<barre:FastEthernet0/0, buffaloidh67:FastEthernet0/0>
<barre:FastEthernet0/1, nodeidh95:FastEthernet0/0>
<barreidh104:FastEthernet0/0, mountpelier:FastEthernet0/0>
<basel:FastEthernet0/0, bern:FastEthernet0/0>
<basel:FastEthernet0/1, zurich:FastEthernet0/0>
<bellowsttfalls:FastEthernet0/0, brattleboro:FastEthernet0/0>
<bellowsttfalls:FastEthernet0/1, whitettriverttjunction:FastEthernet0/0>
<benningtown:FastEthernet0/0, brattleboro:FastEthernet0/1>
<benningtown:FastEthernet0/1, mainzdashwiesbaden:FastEthernet0/0>
<benningtown:FastEthernet1/0, manchesteridh99:FastEthernet0/0>
<berlin:FastEthernet0/0, dresden:FastEthernet0/0>
<berlin:FastEthernet0/1, hamburg:FastEthernet0/0>
<bern:FastEthernet0/0, basel:FastEthernet0/0>
<bern:FastEthernet0/1, geneva:FastEthernet0/0>
<bilbao:FastEthernet0/0, avila:FastEthernet0/0>
<bilbao:FastEthernet0/1, logrono:FastEthernet0/0>
<bilbao:FastEthernet1/0, santtsebastian:FastEthernet0/0>
<bilbao:FastEthernet1/1, santander:FastEthernet0/0>
<binghampton:FastEthernet0/0, deposit:FastEthernet0/0>
<binghampton:FastEthernet0/1, dryden:FastEthernet0/0>
