<aarhus:FastEthernet0/0, copenhagen:FastEthernet0/0>
<aarhus:FastEthernet0/1, hamburg:FastEthernet0/0>
<aarhus:FastEthernet1/0, kolding:FastEthernet0/0>
<albany:FastEthernet0/0, lagrangeidh43:FastEthernet0/0>
<albany:FastEthernet0/1, tallahassee:FastEthernet0/0>
<alexanderttcity:FastEthernet0/0, anniston:FastEthernet0/0>
<alexanderttcity:FastEthernet0/1, auburn:FastEthernet0/0>
<alexandria:FastEthernet0/0, lafayette:FastEthernet0/0>
<alexandria:FastEthernet0/1, shreveport:FastEthernet0/0>
<almere:FastEthernet0/0, amsterdam:FastEthernet0/0>
<amsterdam:FastEthernet0/0, almere:FastEthernet0/0>
<amsterdam:FastEthernet0/1, dusseldorf:FastEthernet0/0>
<amsterdam:FastEthernet1/0, hilversum:FastEthernet0/0>
<amsterdam:FastEthernet1/1, hoofddorp:FastEthernet0/0>
<anderlecht:FastEthernet0/0, brussels:FastEthernet0/0>
<anniston:FastEthernet0/0, alexanderttcity:FastEthernet0/0>
<anniston:FastEthernet0/1, birminghamidh54:FastEthernet0/0>
<anniston:FastEthernet1/0, gadsden:FastEthernet0/0>
<anniston:FastEthernet1/1, nodeidh84:FastEthernet0/0>
<antwerp:FastEthernet0/0, brussels:FastEthernet0/1>
<antwerp:FastEthernet0/1, thetthague:FastEthernet0/0>
<arab:FastEthernet0/0, birminghamidh54:FastEthernet0/1>
<arab:FastEthernet0/1, huntsville:FastEthernet0/0>
<ashville:FastEthernet0/0, greenville:FastEthernet0/0>
<ashville:FastEthernet0/1, sylva:FastEthernet0/0>
<athens:FastEthernet0/0, atlanta:FastEthernet0/0>
<athens:FastEthernet0/1, augusta:FastEthernet0/0>
<athens:FastEthernet1/0, nodeidh98:FastEthernet0/0>
<atlanta:FastEthernet0/0, athens:FastEthernet0/0>
<atlanta:FastEthernet0/1, chattanooga:FastEthernet0/0>
<atlanta:FastEthernet1/0, gainesvilleidh15:FastEthernet0/0>
<atlanta:FastEthernet1/1, greenville:FastEthernet0/1>
<atlanta:FastEthernet2/0, macon:FastEthernet0/0>
<atlanta:FastEthernet2/1, nodeidh111:FastEthernet0/0>
<atlanta:FastEthernet3/0, nodeidh84:FastEthernet0/1>
<atlanta:FastEthernet3/1, tallahassee:FastEthernet0/1>
<atlanta:FastEthernet4/0, westttpoint:FastEthernet0/0>
<auburn:FastEthernet0/0, alexanderttcity:FastEthernet0/1>
