<abingdon:FastEthernet0/0, bristol:FastEthernet0/0>
<abingdon:FastEthernet0/1, lebanonid351:FastEthernet0/0>
<abingdon:FastEthernet1/0, norton:FastEthernet0/0>
<abingdon:FastEthernet1/1, wytheville:FastEthernet0/0>
<afton:FastEthernet0/0, janesville:FastEthernet0/0>
<afton:FastEthernet0/1, madisonid315:FastEthernet0/0>
<afton:FastEthernet1/0, platteville:FastEthernet0/0>
<akron:FastEthernet0/0, canton:FastEthernet0/0>
<akron:FastEthernet0/1, montrose:FastEthernet0/0>
<akron:FastEthernet1/0, warren:FastEthernet0/0>
<alabaster:FastEthernet0/0, birmingham:FastEthernet0/0>
<alabaster:FastEthernet0/1, clanton:FastEthernet0/0>
<albany:FastEthernet0/0, americus:FastEthernet0/0>
<albany:FastEthernet0/1, arlington:FastEthernet0/0>
<albertttlea:FastEthernet0/0, austin:FastEthernet0/0>
<albertttlea:FastEthernet0/1, fairmont:FastEthernet0/0>
<albertttlea:FastEthernet1/0, masonttcity:FastEthernet0/0>
<albertttlea:FastEthernet1/1, owatonna:FastEthernet0/0>
<albertville:FastEthernet0/0, gadsden:FastEthernet0/0>
<albertville:FastEthernet0/1, guntersville:FastEthernet0/0>
<alexanderttcity:FastEthernet0/0, childersburg:FastEthernet0/0>
<alexanderttcity:FastEthernet0/1, tuskagee:FastEthernet0/0>
<alexandria:FastEthernet0/0, leesville:FastEthernet0/0>
<alexandria:FastEthernet0/1, natchitoches:FastEthernet0/0>
<alexandria:FastEthernet1/0, opelousas:FastEthernet0/0>
<alexandriaid749:FastEthernet0/0, fergusttfalls:FastEthernet0/0>
<alexandriaid749:FastEthernet0/1, freeportid750:FastEthernet0/0>
<allendale:FastEthernet0/0, augusta:FastEthernet0/0>
<allendale:FastEthernet0/1, estill:FastEthernet0/0>
<alpharette:FastEthernet0/0, norcross:FastEthernet0/0>
<alton:FastEthernet0/0, edwardsville:FastEthernet0/0>
<alton:FastEthernet0/1, nodeid634:FastEthernet0/0>
<altoona:FastEthernet0/0, johnstown:FastEthernet0/0>
<altoona:FastEthernet0/1, mountttunion:FastEthernet0/0>
<americus:FastEthernet0/0, albany:FastEthernet0/0>
<americus:FastEthernet0/1, fortttvalley:FastEthernet0/0>
<ames:FastEthernet0/0, desttmoines:FastEthernet0/0>
<ames:FastEthernet0/1, masonttcity:FastEthernet0/1>
<anderson:FastEthernet0/0, indianapolis:FastEthernet0/0>
<anderson:FastEthernet0/1, muncie:FastEthernet0/0>
<anderson:FastEthernet1/0, newttcastle:FastEthernet0/0>
<angola:FastEthernet0/0, lagrange:FastEthernet0/0>
<anniston:FastEthernet0/0, gadsden:FastEthernet0/1>
<anniston:FastEthernet0/1, talledega:FastEthernet0/0>
<annttarbor:FastEthernet0/0, jacksonid519:FastEthernet0/0>
<annttarbor:FastEthernet0/1, southfielddetroit:FastEthernet0/0>
<annttarbor:FastEthernet1/0, toledo:FastEthernet0/0>
<appleton:FastEthernet0/0, dettpere:FastEthernet0/0>
<appleton:FastEthernet0/1, neenah:FastEthernet0/0>
<arkdelphia:FastEthernet0/0, hope:FastEthernet0/0>
<arkdelphia:FastEthernet0/1, malvern:FastEthernet0/0>
<arlington:FastEthernet0/0, albany:FastEthernet0/1>
